,Date
818,1991:1:3:6
819,1991:1:3:12
820,1991:1:3:18
821,1991:1:4:0
822,1991:1:4:6
823,1991:1:10:12
824,1991:1:10:18
825,1991:1:11:0
826,1991:1:11:6
827,1991:1:11:12
828,1991:1:14:18
829,1991:1:15:0
830,1991:1:15:6
831,1991:1:16:12
832,1991:1:16:18
833,1991:1:31:6
834,1991:1:31:12
835,1991:1:31:18
836,1991:2:1:12
837,1991:2:2:0
838,1991:2:2:18
839,1991:2:3:6
840,1991:2:3:12
841,1991:2:3:18
842,1991:2:4:0
843,1991:2:4:6
844,1991:2:4:12
845,1991:2:4:18
846,1991:2:5:0
847,1991:2:7:0
848,1991:2:7:6
849,1991:2:7:12
850,1991:2:7:18
851,1991:2:11:12
852,1991:2:12:18
853,1991:2:13:0
854,1991:2:13:6
855,1991:2:13:12
856,1991:2:13:18
857,1991:2:14:0
858,1991:2:14:6
859,1991:2:14:12
860,1991:2:15:0
861,1991:2:17:6
862,1991:2:17:12
863,1991:2:17:18
864,1991:2:18:0
865,1991:2:18:6
866,1991:2:18:12
867,1991:2:18:18
868,1991:2:19:0
869,1991:2:19:6
870,1991:2:19:12
871,1991:2:19:18
872,1991:2:20:0
873,1991:2:20:6
874,1991:2:27:12
875,1991:2:27:18
876,1991:2:28:0
877,1991:2:28:6
878,1991:2:28:12
879,1991:2:28:12
880,1991:2:28:18
881,1991:3:1:0
882,1991:3:1:6
883,1991:3:2:12
884,1991:3:3:0
885,1991:3:3:6
886,1991:3:3:12
887,1991:3:3:18
888,1991:3:4:0
889,1991:3:4:6
890,1991:3:4:12
891,1991:3:4:18
892,1991:3:5:0
893,1991:3:12:0
894,1991:3:12:6
895,1991:3:16:18
896,1991:3:18:12
897,1991:3:18:18
898,1991:3:19:0
899,1991:9:1:0
900,1991:9:1:12
901,1991:9:16:12
902,1991:9:23:0
903,1991:9:23:6
904,1991:9:23:12
905,1991:9:23:18
906,1991:10:16:12
907,1991:10:16:18
908,1991:10:17:0
909,1991:10:18:12
910,1991:10:19:12
911,1991:10:19:18
912,1991:10:20:6
913,1991:10:20:12
914,1991:10:20:18
915,1991:10:21:6
916,1991:10:21:12
